cat,X,Y,elevation
321,494028.9654,5180951.074,792.5
322,494009.9154,5180963.774,792.5
323,493989.2778,5180972.505,792.5
324,493970.2278,5180980.442,792.5
325,493948.7965,5180989.967,792.5
326,493928.9527,5181002.667,792.5
327,493908.3152,5181019.336,792.5
328,493882.9151,5181036.005,792.5
329,493859.1026,5181046.324,792.5
330,493825.765,5181053.467,792.5
331,493796.3962,5181059.817,792.5
332,493768.6149,5181059.024,792.5
333,493744.0086,5181053.467,792.5
334,493726.5461,5181050.292,792.5
335,493705.1148,5181047.911,792.5
336,493681.3022,5181043.149,792.5
337,493662.2522,5181034.417,792.5
338,493642.4084,5181020.924,792.5
339,493629.7084,5181005.049,792.5
340,493618.5958,5180989.174,792.5
341,493609.8646,5180965.361,792.5
342,493606.6896,5180944.723,792.5
343,493618.5958,5180924.086,792.5
344,493629.7084,5180906.623,792.5
345,493644.7897,5180889.161,792.5
346,493659.0772,5180875.667,792.5
347,493674.9522,5180859.792,792.5
348,493691.621,5180864.555,792.5
349,493711.4648,5180867.73,792.5
350,493732.1023,5180864.555,792.5
351,493757.5024,5180860.586,792.5
352,493778.1399,5180855.823,792.5
353,493798.7775,5180855.823,792.5
354,493817.8275,5180851.855,792.5
355,493833.7025,5180843.123,792.5
356,493827.3525,5180824.073,792.5
357,493809.0962,5180805.817,792.5
358,493784.4899,5180785.973,792.5
359,493761.4711,5180769.304,792.5
360,493736.8648,5180748.667,792.5
361,493720.1961,5180737.554,792.5
362,493705.9085,5180716.123,792.5
363,493686.0647,5180698.661,792.5
364,493665.4272,5180684.373,792.5
365,493625.7396,5180669.292,792.5
366,493595.5771,5180663.735,792.5
367,493567.002,5180662.148,792.5
368,493528.1082,5180663.735,792.5
369,493499.5331,5180661.354,792.5
370,493472.5456,5180658.973,792.5
371,493454.2893,5180646.273,792.5
372,493454.2893,5180625.635,792.5
373,493470.1643,5180610.554,792.5
374,493493.1831,5180605.792,792.5
375,493514.6144,5180601.029,792.5
376,493541.6019,5180595.473,792.5
377,493566.2082,5180589.123,792.5
378,493593.9895,5180585.948,792.5
379,493611.4521,5180580.392,792.5
380,493635.2646,5180577.217,792.5
381,493663.8397,5180585.948,792.5
382,493690.0335,5180593.092,792.5
383,493713.846,5180596.267,792.5
384,493731.3086,5180609.76,792.5
385,493752.7399,5180624.048,792.5
386,493770.2024,5180636.748,792.5
387,493791.6337,5180647.067,792.5
388,493819.415,5180647.067,792.5
389,493841.64,5180643.098,792.5
390,493863.8651,5180638.335,792.5
391,493879.7401,5180627.223,792.5
392,493884.5026,5180609.76,792.5
393,493868.6276,5180595.473,792.5
394,493848.7838,5180581.979,792.5
395,493837.6713,5180570.073,792.5
396,493660.6647,5180560.548,790
397,493676.5397,5180570.866,790
398,493701.9398,5180579.598,790
399,493729.7211,5180589.123,790
400,493757.5024,5180599.442,790
401,493782.1087,5180608.173,790
402,493809.89,5180613.729,790
403,493825.765,5180601.823,790
404,493808.3025,5180578.01,790
405,493797.19,5180566.898,790
406,493550.3332,5180566.898,790
407,493523.3457,5180573.248,790
408,493490.8018,5180581.979,790
409,493465.4018,5180586.742,790
410,493441.5892,5180592.298,790
411,493424.9205,5180601.029,790
412,493399.5204,5180605.792,790
413,493379.6766,5180610.554,790
414,493355.8641,5180620.873,790
415,493333.639,5180633.573,790
416,493324.114,5180661.354,790
417,493341.5765,5180679.61,790
418,493360.6266,5180695.485,790
419,493376.5016,5180712.154,790
420,493393.1704,5180729.617,790
421,493413.8079,5180741.523,790
422,493436.8267,5180743.904,790
423,493447.9393,5180724.061,790
424,493462.2268,5180706.598,790
425,493480.4831,5180701.836,790
426,493506.6769,5180701.042,790
427,493527.3144,5180700.248,790
428,493552.7145,5180697.073,790
429,493570.177,5180693.898,790
430,493583.6708,5180682.785,790
431,493601.9271,5180684.373,790
432,493620.9771,5180688.342,790
433,493641.6146,5180693.104,790
434,493659.8709,5180704.217,790
435,493676.5397,5180717.711,790
436,493679.7147,5180739.936,790
437,493667.8084,5180752.636,790
438,493666.2209,5180765.336,790
439,493679.7147,5180773.273,790
440,493696.3835,5180776.448,790
441,493713.0523,5180766.923,790
442,493732.1023,5180766.129,790
443,493744.0086,5180778.036,790
444,493751.1524,5180786.767,790
445,493766.2336,5180795.498,790
446,493786.0774,5180809.786,790
447,493787.6649,5180826.455,790
448,493765.4399,5180832.011,790
449,493749.5649,5180837.567,790
450,493730.5148,5180833.598,790
451,493709.8773,5180840.742,790
452,493690.0335,5180840.742,790
453,493667.0147,5180838.361,790
454,493651.1397,5180839.155,790
455,493632.8834,5180851.061,790
456,493627.3271,5180867.73,790
457,493613.8333,5180875.667,790
458,493600.3396,5180869.317,790
459,493586.052,5180858.998,790
460,493567.002,5180863.761,790
461,493546.3645,5180874.873,790
462,493522.5519,5180874.08,790
463,493503.5019,5180874.873,790
464,493490.0081,5180882.811,790
465,493498.7394,5180900.273,790
466,493514.6144,5180912.973,790
467,493533.6644,5180921.705,790
468,493555.0957,5180933.611,790
469,493569.3833,5180949.486,790
470,493575.7333,5180970.124,790
471,493587.6395,5180985.999,790
472,493601.9271,5181008.224,790
473,493611.4521,5181030.449,790
474,493626.5334,5181042.355,790
475,493643.2021,5181055.849,790
476,493660.6647,5181062.199,790
477,493678.1272,5181067.755,790
478,493707.496,5181068.549,790
479,493733.6898,5181070.136,790
480,493751.1524,5181070.93,790
481,493776.5524,5181074.105,790
482,493800.365,5181073.311,790
483,493825.765,5181070.136,790
484,493846.4026,5181067.755,790
485,493867.0401,5181062.199,790
486,493884.5026,5181051.88,790
487,493904.3464,5181039.974,790
488,493923.3965,5181027.274,790
489,493945.6215,5181012.986,790
490,493967.8465,5181000.286,790
491,493868.6276,5181093.155,787.5
492,493844.0213,5181089.186,787.5
493,493824.9713,5181087.599,787.5
494,493801.9525,5181089.186,787.5
495,493780.5212,5181090.774,787.5
496,493753.5336,5181089.186,787.5
497,493726.5461,5181089.186,787.5
498,493691.621,5181085.218,787.5
499,493670.9835,5181086.011,787.5
500,493641.6146,5181074.899,787.5
501,493617.8021,5181059.817,787.5
502,493596.3708,5181036.799,787.5
503,493582.877,5181016.161,787.5
504,493564.6207,5180997.111,787.5
505,493543.1894,5180971.711,787.5
506,493521.7582,5180947.105,787.5
507,493503.5019,5180928.848,787.5
508,493487.6268,5180912.973,787.5
509,493473.3393,5180891.542,787.5
510,493466.1955,5180873.286,787.5
511,493473.3393,5180855.823,787.5
512,493490.8018,5180854.236,787.5
513,493511.4394,5180855.823,787.5
514,493535.2519,5180858.998,787.5
515,493557.477,5180844.711,787.5
516,493580.4958,5180834.392,787.5
517,493603.5146,5180833.598,787.5
518,493622.5646,5180824.867,787.5
519,493643.9959,5180820.898,787.5
520,493665.4272,5180815.342,787.5
521,493688.446,5180812.961,787.5
522,493705.9085,5180802.642,787.5
523,493685.271,5180786.767,787.5
524,493657.4897,5180782.798,787.5
525,493639.2334,5180773.273,787.5
526,493638.4396,5180756.604,787.5
527,493646.3772,5180736.761,787.5
528,493639.2334,5180718.504,787.5
529,493614.6271,5180716.123,787.5
530,493598.7521,5180724.061,787.5
531,493578.9083,5180724.061,787.5
532,493555.0957,5180735.173,787.5
533,493536.8394,5180739.936,787.5
534,493516.2019,5180740.729,787.5
535,493496.3581,5180746.286,787.5
536,493486.8331,5180766.129,787.5
537,493473.3393,5180779.623,787.5
538,493447.9393,5180784.386,787.5
539,493424.1267,5180779.623,787.5
540,493401.1079,5180763.748,787.5
541,493384.4391,5180747.873,787.5
542,493372.5329,5180735.173,787.5
543,493362.2141,5180717.711,787.5
544,493348.7203,5180705.804,787.5
545,493335.2265,5180693.104,787.5
546,493319.3515,5180674.054,787.5
547,493311.414,5180658.973,787.5
548,493295.539,5180639.129,787.5
549,493302.6827,5180617.698,787.5
550,493324.114,5180606.585,787.5
551,493352.6891,5180598.648,787.5
552,493379.6766,5180586.742,787.5
553,493402.6954,5180582.773,787.5
554,493426.508,5180574.042,787.5
555,493447.9393,5180566.898,787.5
556,493363.8016,5180570.073,785
557,493344.7516,5180578.01,785
558,493324.114,5180583.567,785
559,493296.3327,5180585.154,785
560,493279.6639,5180597.06,785
561,493270.1389,5180620.873,785
562,493282.8389,5180639.129,785
